日付,小売店名,店舗名,ブランド名,商品名,売上数量,売上金額,年月,登録日時
2026-04-30,アインズ,地下街店,レチスパ,レチスパ クリームシャンプー 390g,3,0,2026-04,2026-05-18 15:42:03
2026-04-30,アインズ,新宿東口店,レチスパ,レチスパ クリームシャンプー 390g,1,0,2026-04,2026-05-18 15:42:03
2026-04-30,アインズ,草加ヴァリエ店,レチスパ,レチスパ クリームシャンプー 390g,2,0,2026-04,2026-05-18 15:42:03
2026-04-30,アインズ,札幌国際ビル店,レチスパ,レチスパ クリームシャンプー 390g,2,0,2026-04,2026-05-18 15:42:03
2026-04-30,アインズ,光が丘ＩＭＡ店,レチスパ,レチスパ クリームシャンプー 390g,2,0,2026-04,2026-05-18 15:42:03
2026-04-30,アインズ,みなとみらい東急スクエア店,レチスパ,レチスパ クリームシャンプー 390g,1,0,2026-04,2026-05-18 15:42:03
2026-04-30,アインズ,神戸元町店,レチスパ,レチスパ クリームシャンプー 390g,1,0,2026-04,2026-05-18 15:42:03
2026-04-30,アインズ,二子玉川ライズＳ．Ｃ．店,レチスパ,レチスパ クリームシャンプー 390g,2,0,2026-04,2026-05-18 15:42:03
2026-04-30,アインズ,シーナシーナ青森店,レチスパ,レチスパ クリームシャンプー 390g,1,0,2026-04,2026-05-18 15:42:03
2026-04-30,アインズ,シーナシーナ弘前店,レチスパ,レチスパ クリームシャンプー 390g,1,0,2026-04,2026-05-18 15:42:03
2026-04-30,アインズ,アトレマルヒロ川越店,レチスパ,レチスパ クリームシャンプー 390g,1,0,2026-04,2026-05-18 15:42:03
2026-04-30,アインズ,地下街店,レチスパ,レチスパ クリームシャンプー サシェ 12g×2,24,0,2026-04,2026-05-18 15:42:03
2026-04-30,アインズ,宇都宮店,レチスパ,レチスパ クリームシャンプー サシェ 12g×2,4,0,2026-04,2026-05-18 15:42:03
2026-04-30,アインズ,ル・トロワ店,レチスパ,レチスパ クリームシャンプー サシェ 12g×2,5,0,2026-04,2026-05-18 15:42:03
2026-04-30,アインズ,光が丘ＩＭＡ店,レチスパ,レチスパ クリームシャンプー サシェ 12g×2,8,0,2026-04,2026-05-18 15:42:03
2026-04-30,アインズ,アミュプラザくまもと店,レチスパ,レチスパ クリームシャンプー サシェ 12g×2,1,0,2026-04,2026-05-18 15:42:03
2026-04-30,アインズ,みなとみらい東急スクエア店,レチスパ,レチスパ クリームシャンプー サシェ 12g×2,2,0,2026-04,2026-05-18 15:42:03
2026-04-30,アインズ,福岡天神西通り店,レチスパ,レチスパ クリームシャンプー サシェ 12g×2,12,0,2026-04,2026-05-18 15:42:03
2026-04-30,アインズ,神戸元町店,レチスパ,レチスパ クリームシャンプー サシェ 12g×2,2,0,2026-04,2026-05-18 15:42:03
2026-04-30,アインズ,二子玉川ライズＳ．Ｃ．店,レチスパ,レチスパ クリームシャンプー サシェ 12g×2,1,0,2026-04,2026-05-18 15:42:03
